dato,total-unit,success-unit,total-duration,success-duration,reg-duration,reg-units
10-08-21,18,1,155,10,95,3
11-08-21,18,3,240,20,85,5
12-08-21,18,6,240,127,141,9
18-08-21,18,3,240,60,120,5
19-08-21,18,5,180,85,170,12
20-08-21,18,14,219,166,210,17
24-08-21,18,12,180,116,120,12
25-08-21,18,7,240,109,125,9
27-08-21,18,12,180,130,175,16
31-08-21,18,3,240,60,150,6
01-09-21,18,6,240,62,178,7
02-09-21,18,2,240,20,111,4
03-09-21,18,10,240,92,164,16
07-09-21,18,4,150,42,136,8
08-09-21,18,5,205,65,205,6
10-09-21,18,8,240,130,205,15
14-09-21,18,9,240,102,157,15
15-09-21,18,10,240,96,130,11
16-09-21,18,8,240,95,195,13
17-09-21,18,8,240,87,172,15
21-09-21,18,6,240,62,167,13
22-09-21,18,8,240,100,165,15
23-09-21,18,12,240,120,211,17
24-09-21,18,10,240,105,185,13
28-09-21,18,7,240,72,127,12
29-09-21,18,4,240,35,130,7
30-09-21,18,13,240,150,182,15
01-10-21,18,10,240,101,151,16
05-10-21,18,5,240,120,155,6
06-10-21,18,7,240,107,130,8
07-10-21,18,0,30,30,30,1
08-10-21,18,13,240,182,190,15
14-10-21,18,1,240,10,10,2
26-10-21,14,11,nan,nan,nan,nan
27-10-21,14,14,nan,nan,nan,nan
28-10-21,14,7,nan,nan,nan,nan
29-10-21,14,10,nan,nan,nan,nan
05-11-21,14,5,nan,nan,nan,nan
10-11-21,14,5,nan,nan,nan,nan
11-11-21,14,9,nan,nan,nan,nan
12-11-21,14,5,nan,nan,nan,nan
16-11-21,14,10,nan,nan,nan,nan
17-11-21,14,10,nan,nan,nan,nan
18-11-21,14,10,nan,nan,nan,nan
19-11-21,14,5,nan,nan,nan,nan
24-11-21,14,4,nan,nan,nan,nan
25-11-21,14,9,nan,nan,nan,nan
26-11-21,14,2,nan,nan,nan,nan
30-11-21,14,4,nan,nan,nan,nan
01-12-21,14,8,nan,nan,nan,nan
02-12-21,14,11,nan,nan,nan,nan
03-12-21,14,10,nan,nan,nan,nan
05-01-22,16,6,nan,nan,nan,nan
06-01-22,16,8,nan,nan,nan,nan
07-01-22,16,7,nan,nan,nan,nan
11-01-21,16,11,nan,nan,nan,nan
13-01-22,16,9,nan,nan,nan,nan
14-01-22,16,8,nan,nan,nan,nan
01-02-22,16,11,165,nan,nan,nan
02-02-22,16,4,105,nan,nan,nan
03-02-22,16,10,195,nan,nan,nan
08-03-22,11,7,165,nan,nan,nan
09-03-22,11,10,180,nan,nan,nan
15-03-22,11,9,165,nan,nan,nan
16-03-22,11,5,135,nan,nan,nan
